;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
Receita total prevista do Fundeb 2026 - Portaria Interministerial nº 14, de 29 de Dezembro de 2025;;;;;;;;;;;;
;;;;;;;;;;;;
UF;"Código
IBGE";Entidade;Receita da contribuição de estados e municípios ao Fundeb;Complementação VAAF;Complementação VAAT;Complementação VAAR;Complementação da União Total;Total das receitas previstas;;;;
AL;2702553;ESTRELA DE ALAGOAS; 22.894.099,09 ; 5.159.017,25 ; 13.799.211,85 ; 2.336.437,16 ; 21.294.666,26 ; 44.188.765,35 ;;;;
AL;2702603;FEIRA GRANDE; 33.282.217,74 ; 7.499.903,56 ; 18.860.962,38 ; 1.535.672,21 ; 27.896.538,15 ; 61.178.755,89 ;;;;
AL;2702702;FELIZ DESERTO; 6.975.080,60 ; 1.571.783,24 ; 160.619,38 ; 363.002,33 ; 2.095.404,95 ; 9.070.485,55 ;;;;
AL;2702801;FLEXEIRAS; 16.212.937,80 ; 3.653.466,58 ; 4.352.127,24 ; 1.718.090,29 ; 9.723.684,11 ; 25.936.621,91 ;;;;
AL;2702900;GIRAU DO PONCIANO; 71.162.160,00 ; 16.035.870,62 ; 6.884.801,86 ; 3.373.958,25 ; 26.294.630,73 ; 97.456.790,73 ;;;;
AL;2703007;IBATEGUARA; 25.349.150,34 ; 5.712.245,03 ; 22.648.767,18 ; 2.961.196,71 ; 31.322.208,92 ; 56.671.359,26 ;;;;
AL;2703106;IGACI; 29.651.349,44 ; 6.681.714,03 ; 17.013.314,68 ; 2.945.134,66 ; 26.640.163,37 ; 56.291.512,81 ;;;;
AL;2703205;IGREJA NOVA; 33.911.965,89 ; 7.641.812,69 ; 16.050.944,17 ; -   ; 23.692.756,86 ; 57.604.722,75 ;;;;
AL;2703304;INHAPI; 33.346.694,52 ; 7.514.432,94 ; 16.750.782,67 ; 3.218.481,22 ; 27.483.696,83 ; 60.830.391,35 ;;;;
AL;2703403;JACARE DOS HOMENS; 15.843.735,08 ; 3.570.269,45 ; 11.646.196,29 ; 1.267.329,05 ; 16.483.794,79 ; 32.327.529,87 ;;;;
AL;2703502;JACUIPE; 9.813.991,54 ; 2.211.510,98 ; 79.570,57 ; 965.603,55 ; 3.256.685,10 ; 13.070.676,64 ;;;;
AL;2703601;JAPARATINGA; 15.038.600,59 ; 3.388.838,30 ; 5.728.102,86 ; 657.064,86 ; 9.774.006,02 ; 24.812.606,61 ;;;;
AL;2703700;JARAMATAIA; 9.534.834,54 ; 2.148.605,01 ; 4.730.449,37 ; 838.245,69 ; 7.717.300,07 ; 17.252.134,61 ;;;;
AL;2703759;JEQUIA DA PRAIA; 15.225.498,87 ; 3.430.954,46 ; 3.150.501,64 ; -   ; 6.581.456,10 ; 21.806.954,97 ;;;;
