ANEXO IV;;;;;;
Portaria Interministerial MEC/MF nº 14, de 29 de dezembro de 2025;;;;;;
Demonstrativo da Distribuição da Complementação da União-VAAT ao Fundeb no Ano de 2026 (art. 16, incisos V a VII da Lei nº 14.113/2020);;;;;;
UF;Ente Federado;Código IBGE; VAAT anterior à Complementação-VAAT (art. 16, IV) (R$) ;" VAAT com a Complementação da União-VAAT
(art. 16, V) (R$) ";" Complementação da União-VAAT
(art. 16, VI) (R$) ";Indicador de Educação Infantil (IEI) - Percentual da Complementação da União-VAAT vinculado à Educação Infantil (art. 16, VII) (%)
AM;SAO PAULO DE OLIVENCA;1303908; 6.776,33 ; 10.194,38 ; 50.380.814,36 ;61%
AM;SAO SEBASTIAO DO UATUMA;1303957; 7.944,02 ; 10.194,38 ; 5.743.211,08 ;55%
AM;SILVES;1304005; 8.652,64 ; 10.194,38 ; 6.199.237,13 ;59%
AM;TABATINGA;1304062; 6.691,16 ; 10.194,38 ; 95.576.973,41 ;50%
AM;TAPAUA;1304104; 7.264,86 ; 10.194,38 ; 21.957.152,34 ;55%
AM;TEFE;1304203; 7.272,72 ; 10.194,38 ; 69.906.019,53 ;54%
AM;TONANTINS;1304237; 7.375,08 ; 10.194,38 ; 20.404.227,88 ;51%
AM;UARINI;1304260; 7.774,36 ; 10.194,38 ; 12.746.072,11 ;52%
AM;URUCARA;1304302; 8.427,37 ; 10.194,38 ; 6.752.863,07 ;55%
AM;URUCURITUBA;1304401; 7.227,90 ; 10.194,38 ; 14.877.955,50 ;53%
AP;AMAPA;1600105; 10.121,20 ; 10.194,38 ; 123.242,89 ;56%
AP;Amapá;16; 15.225,28 ; 15.225,28 ; -   ;0%
AP;CALCOENE;1600204; 8.417,07 ; 10.194,38 ; 4.911.922,94 ;53%
AP;FERREIRA GOMES;1600238; 12.051,81 ; 12.051,81 ; -   ;0%
AP;ITAUBAL;1600253; 9.028,75 ; 10.194,38 ; 1.942.899,37 ;59%
AP;LARANJAL DO JARI;1600279; 10.079,71 ; 10.194,38 ; 1.041.162,51 ;57%
AP;MACAPA;1600303; 11.810,86 ; 11.810,86 ; -   ;0%
AP;MAZAGAO;1600402; 8.718,71 ; 10.194,38 ; 12.088.204,42 ;50%
AP;OIAPOQUE;1600501; 9.897,21 ; 10.194,38 ; 1.927.070,57 ;55%
AP;PEDRA BRANCA DO AMAPARI;1600154; 12.519,36 ; 12.519,36 ; -   ;0%
AP;PORTO GRANDE;1600535; 10.338,80 ; 10.338,80 ; -   ;0%
AP;PRACUUBA;1600550; 11.133,62 ; 11.133,62 ; -   ;0%
AP;SANTANA;1600600; 10.234,33 ; 10.234,33 ; -   ;0%
AP;SERRA DO NAVIO;1600055; 11.735,39 ; 11.735,39 ; -   ;0%
AP;TARTARUGALZINHO;1600709; 7.985,62 ; 10.194,38 ; 8.362.099,28 ;60%
AP;VITORIA DO JARI;1600808; 9.850,71 ; 10.194,38 ; 1.209.025,68 ;56%
BA;ABAIRA;2900108; 8.518,79 ; 10.194,38 ; 2.171.803,11 ;50%
BA;ABARE;2900207; 7.188,24 ; 10.194,38 ; 17.338.790,92 ;50%
BA;ACAJUTIBA;2900306; 6.045,83 ; 10.194,38 ; 28.112.136,81 ;48%
BA;ADUSTINA;2900355; 8.383,92 ; 10.194,38 ; 7.104.330,00 ;55%
BA;AGUA FRIA;2900405; 8.632,60 ; 10.194,38 ; 6.446.213,44 ;52%
BA;AIQUARA;2900603; 11.709,73 ; 11.709,73 ; -   ;0%
BA;ALAGOINHAS;2900702; 10.802,56 ; 10.802,56 ; -   ;0%
BA;ALCOBACA;2900801; 8.470,42 ; 10.194,38 ; 12.116.379,53 ;58%
BA;ALMADINA;2900900; 5.841,84 ; 10.194,38 ; 8.606.582,06 ;48%
BA;AMARGOSA;2901007; 7.288,63 ; 10.194,38 ; 25.306.706,59 ;50%
BA;AMELIA RODRIGUES;2901106; 8.126,15 ; 10.194,38 ; 11.627.570,61 ;46%
BA;AMERICA DOURADA;2901155; 7.696,07 ; 10.194,38 ; 12.806.007,90 ;44%
BA;ANAGE;2901205; 8.864,19 ; 10.194,38 ; 5.833.342,79 ;50%
BA;ANDARAI;2901304; 8.205,61 ; 10.194,38 ; 7.171.999,11 ;51%
BA;ANDORINHA;2901353; 7.693,49 ; 10.194,38 ; 14.802.728,17 ;53%
BA;ANGICAL;2901403; 8.089,78 ; 10.194,38 ; 7.448.204,82 ;51%
BA;ANGUERA;2901502; 7.423,77 ; 10.194,38 ; 11.172.124,44 ;49%
BA;ANTAS;2901601; 7.615,29 ; 10.194,38 ; 15.047.304,08 ;33%
BA;ANTONIO CARDOSO;2901700; 7.386,64 ; 10.194,38 ; 9.763.968,14 ;50%
BA;ANTONIO GONCALVES;2901809; 6.788,62 ; 10.194,38 ; 12.241.702,25 ;48%
BA;APORA;2901908; 6.273,39 ; 10.194,38 ; 21.069.018,78 ;44%
BA;APUAREMA;2901957; 7.236,69 ; 10.194,38 ; 6.699.406,27 ;47%
BA;ARACAS;2902054; 9.819,67 ; 10.194,38 ; 1.239.404,27 ;53%
BA;ARACATU;2902005; 4.793,20 ; 10.194,38 ; 30.890.456,31 ;48%
BA;ARACI;2902104; 6.876,35 ; 10.194,38 ; 72.039.581,01 ;48%
BA;ARAMARI;2902203; 5.512,76 ; 10.194,38 ; 24.565.307,28 ;43%
BA;ARATACA;2902252; 8.251,16 ; 10.194,38 ; 4.950.157,45 ;50%
BA;ARATUIPE;2902302; 7.167,96 ; 10.194,38 ; 7.677.849,30 ;50%
BA;AURELINO LEAL;2902401; 9.521,12 ; 10.194,38 ; 2.442.730,47 ;44%
BA;Bahia;29; 11.173,70 ; 11.173,70 ; -   ;0%
BA;BAIANOPOLIS;2902500; 7.343,04 ; 10.194,38 ; 11.090.038,42 ;51%
BA;BAIXA GRANDE;2902609; 7.718,28 ; 10.194,38 ; 11.894.551,56 ;53%
BA;BANZAE;2902658; 7.605,05 ; 10.194,38 ; 11.799.053,71 ;41%
BA;BARRA;2902708; 7.366,47 ; 10.194,38 ; 45.057.350,81 ;58%
BA;BARRA DA ESTIVA;2902807; 7.703,56 ; 10.194,38 ; 14.532.011,56 ;56%
BA;BARRA DO CHOCA;2902906; 7.716,49 ; 10.194,38 ; 25.325.188,17 ;49%
BA;BARRA DO MENDES;2903003; 7.302,66 ; 10.194,38 ; 10.630.651,67 ;51%
BA;BARRA DO ROCHA;2903102; 12.031,79 ; 12.031,79 ; -   ;0%
BA;BARREIRAS;2903201; 9.317,32 ; 10.194,38 ; 29.249.471,39 ;53%
BA;BARRO ALTO;2903235; 6.581,44 ; 10.194,38 ; 15.980.133,16 ;54%
BA;BARRO PRETO;2903300; 7.602,21 ; 10.194,38 ; 7.827.877,13 ;47%
BA;BARROCAS;2903276; 7.265,48 ; 10.194,38 ; 16.858.881,80 ;49%
BA;BELMONTE;2903409; 7.431,50 ; 10.194,38 ; 15.973.605,75 ;54%
BA;BELO CAMPO;2903508; 7.258,16 ; 10.194,38 ; 14.775.468,73 ;54%
BA;BIRITINGA;2903607; 8.202,47 ; 10.194,38 ; 13.267.332,30 ;51%
BA;BOA NOVA;2903706; 6.970,73 ; 10.194,38 ; 13.889.460,59 ;58%
BA;BOA VISTA DO TUPIM;2903805; 8.717,49 ; 10.194,38 ; 6.644.236,17 ;55%
BA;BOM JESUS DA LAPA;2903904; 6.988,78 ; 10.194,38 ; 65.625.119,38 ;50%
BA;BOM JESUS DA SERRA;2903953; 6.821,56 ; 10.194,38 ; 9.633.225,01 ;56%
BA;BONINAL;2904001; 8.366,96 ; 10.194,38 ; 5.810.362,49 ;55%
BA;BONITO;2904050; 6.947,77 ; 10.194,38 ; 19.574.522,43 ;52%
BA;BOQUIRA;2904100; 5.809,38 ; 10.194,38 ; 24.271.528,31 ;53%
BA;BOTUPORA;2904209; 7.188,68 ; 10.194,38 ; 10.917.916,21 ;51%
BA;BREJOES;2904308; 8.197,99 ; 10.194,38 ; 7.255.435,46 ;49%
BA;BREJOLANDIA;2904407; 8.287,39 ; 10.194,38 ; 3.654.370,19 ;63%
BA;BROTAS DE MACAUBAS;2904506; 7.985,36 ; 10.194,38 ; 7.025.253,72 ;54%
